hgdp_id	Gender	population	Geographic origin	Region
HGDP01074	F	Sardinian	Italy	Europe
HGDP01075	M	Sardinian	Italy	Europe
HGDP01076	M	Sardinian	Italy	Europe
HGDP01077	M	Sardinian	Italy	Europe
HGDP01078	F	Sardinian	Italy	Europe
HGDP01079	M	Sardinian	Italy	Europe
HGDP01147	M	North_Italian	Italy (Bergamo)	Europe
HGDP01151	M	North_Italian	Italy (Bergamo)	Europe
HGDP01152	M	North_Italian	Italy (Bergamo)	Europe
HGDP01153	M	North_Italian	Italy (Bergamo)	Europe
HGDP01155	M	North_Italian	Italy (Bergamo)	Europe
HGDP01156	F	North_Italian	Italy (Bergamo)	Europe
HGDP01157	F	North_Italian	Italy (Bergamo)	Europe
HGDP01161	M	Tuscan	Italy	Europe
HGDP01162	M	Tuscan	Italy	Europe
HGDP01163	M	Tuscan	Italy	Europe
HGDP01164	M	Tuscan	Italy	Europe
HGDP01166	M	Tuscan	Italy	Europe
HGDP01167	M	Tuscan	Italy	Europe
HGDP01168	F	Tuscan	Italy	Europe
HGDP01169	F	Tuscan	Italy	Europe
HGDP01171	F	North_Italian	Italy (Bergamo)	Europe
HGDP01172	F	North_Italian	Italy (Bergamo)	Europe
HGDP01173	M	North_Italian	Italy (Bergamo)	Europe
HGDP01174	M	North_Italian	Italy (Bergamo)	Europe
HGDP01177	F	North_Italian	Italy (Bergamo)	Europe
HGDP01357	M	French_Basque	France	Europe
HGDP01358	M	French_Basque	France	Europe
HGDP01359	M	French_Basque	France	Europe
HGDP01360	M	French_Basque	France	Europe
HGDP01361	M	French_Basque	France	Europe
HGDP01362	M	French_Basque	France	Europe
HGDP01363	F	French_Basque	France	Europe
HGDP01364	M	French_Basque	France	Europe
HGDP01365	F	French_Basque	France	Europe
HGDP01366	F	French_Basque	France	Europe
HGDP01367	F	French_Basque	France	Europe
HGDP01368	F	French_Basque	France	Europe
HGDP01369	F	French_Basque	France	Europe
HGDP01370	M	French_Basque	France	Europe
HGDP01371	M	French_Basque	France	Europe
HGDP01372	M	French_Basque	France	Europe
HGDP01373	F	French_Basque	France	Europe
HGDP01374	M	French_Basque	France	Europe
HGDP01375	M	French_Basque	France	Europe
HGDP01376	M	French_Basque	France	Europe
HGDP01377	M	French_Basque	France	Europe
HGDP01378	M	French_Basque	France	Europe
HGDP01379	M	French_Basque	France	Europe
HGDP01380	F	French_Basque	France	Europe
HGDP01381	F	Adygei	Russia Caucasus	Europe
HGDP01382	F	Adygei	Russia Caucasus	Europe
HGDP01383	M	Adygei	Russia Caucasus	Europe
HGDP01384	F	Adygei	Russia Caucasus	Europe
HGDP01385	M	Adygei	Russia Caucasus	Europe
HGDP01386	F	Adygei	Russia Caucasus	Europe
HGDP01387	F	Adygei	Russia Caucasus	Europe
HGDP01388	F	Adygei	Russia Caucasus	Europe
HGDP01396	M	Adygei	Russia Caucasus	Europe
HGDP01397	M	Adygei	Russia Caucasus	Europe
HGDP01398	F	Adygei	Russia Caucasus	Europe
HGDP01399	F	Adygei	Russia Caucasus	Europe
HGDP01400	F	Adygei	Russia Caucasus	Europe
HGDP01401	F	Adygei	Russia Caucasus	Europe
HGDP01402	M	Adygei	Russia Caucasus	Europe
HGDP01403	M	Adygei	Russia Caucasus	Europe
HGDP01404	M	Adygei	Russia Caucasus	Europe
